Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
Explain the Earliest Deadline First (EDF) mechanism with an example.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,TRUE,Describe the Earliest Deadline First (EDF) mechanism with an example.
"Concisely, describe the Earliest Deadline First (EDF) mechanism with a suitable example.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,TRUE,Describe the Earliest Deadline First (EDF) mechanism with an example.
"Concisely, explain the Earliest Deadline First (EDF) mechanism with an example.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025, Winter 2025",5,4.2,,High,TRUE,Describe the Earliest Deadline First (EDF) mechanism with an example.
Discuss the Round-robin with interrupt mechanism for embedded software.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,TRUE,Describe the Round-robin with interrupt mechanism for embedded software.
"To summarize, discuss the Round-robin with interrupt mechanism for embedded software.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,TRUE,Describe the Round-robin with interrupt mechanism for embedded software.
"In brief, describe the Round-robin with interrupt mechanism for embedded software.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,TRUE,Describe the Round-robin with interrupt mechanism for embedded software.
"In short, explain the Round-robin with interrupt mechanism for embedded software.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,TRUE,Describe the Round-robin with interrupt mechanism for embedded software.
"To summarize, describe the Round-robin with interrupt mechanism for embedded software.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Winter 2023, Summer 2024, Summer 2025",4,6,,High,TRUE,Describe the Round-robin with interrupt mechanism for embedded software.
"In brief, explain and compare co-operative and pre-emptive scheduling mechanisms.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,TRUE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
"Briefly, describe and compare co-operative and pre-emptive scheduling mechanisms.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,TRUE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
"In short, discuss and compare co-operative and pre-emptive scheduling mechanisms.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,TRUE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
"In short, explain and compare co-operative and pre-emptive scheduling mechanisms.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,TRUE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
"To summarize, explain and compare co-operative and pre-emptive scheduling mechanisms.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2022, Summer 2023, Winter 2023, Winter 2023, Summer 2024, Winter 2024, Winter 2025",7,4.29,,High,TRUE,Describe and compare co-operative and pre-emptive scheduling mechanisms.
"In brief, discuss process context switching and thread context switching in detail.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,TRUE,Explain process context switching and thread context switching in detail.
"In short, explain process context switching and thread context switching in detail.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,TRUE,Explain process context switching and thread context switching in detail.
"In brief, explain process context switching and thread context switching in depth.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,TRUE,Explain process context switching and thread context switching in detail.
Explain process context switching and thread context switching in depth.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,TRUE,Explain process context switching and thread context switching in detail.
"Concisely, discuss process context switching and thread context switching in detail.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2023,1,7,,Low,TRUE,Explain process context switching and thread context switching in detail.
"Concisely, differentiate between Clock-driven and Event-driven Scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,TRUE,Differentiate between Clock-driven and Event-driven Scheduling.
"To summarize, compare between Clock-driven and Event-driven Scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,TRUE,Differentiate between Clock-driven and Event-driven Scheduling.
"In brief, compare between Clock-driven and Event-driven Scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,TRUE,Differentiate between Clock-driven and Event-driven Scheduling.
"Briefly, differentiate between Clock-driven and Event-driven Scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,TRUE,Differentiate between Clock-driven and Event-driven Scheduling.
"In short, compare between Clock-driven and Event-driven Scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Summer 2024, Winter 2024, Summer 2025",3,5,,High,TRUE,Differentiate between Clock-driven and Event-driven Scheduling.
"Concisely, write down various types of states of tasks and explain them.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,TRUE,Write down various types of states of tasks and explain them.
"Briefly, write down various types of states of tasks and explain them.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,TRUE,Write down various types of states of tasks and explain them.
"To summarize, write down various types of states of tasks and explain them.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,TRUE,Write down various types of states of tasks and explain them.
State down various types of states of tasks and explain them.,Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,TRUE,Write down various types of states of tasks and explain them.
"Concisely, state down various types of states of tasks and explain them.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Summer 2024,1,7,,Low,TRUE,Write down various types of states of tasks and explain them.
"To summarize, explain Rate-monotonic scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,TRUE,Explain Rate-monotonic scheduling.
"Briefly, describe Rate-monotonic scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,TRUE,Explain Rate-monotonic scheduling.
"In short, discuss Rate-monotonic scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,TRUE,Explain Rate-monotonic scheduling.
"In brief, describe Rate-monotonic scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,TRUE,Explain Rate-monotonic scheduling.
"To summarize, discuss Rate-monotonic scheduling.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,"Winter 2024, Summer 2025",2,5.5,,High,TRUE,Explain Rate-monotonic scheduling.
"In short, discuss Function Queue Scheduling mechanism.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,TRUE,Describe Function Queue Scheduling mechanism.
"In brief, explain Function Queue Scheduling mechanism.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,TRUE,Describe Function Queue Scheduling mechanism.
"In brief, discuss Function Queue Scheduling mechanism.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,TRUE,Describe Function Queue Scheduling mechanism.
"Concisely, discuss Function Queue Scheduling mechanism.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,TRUE,Describe Function Queue Scheduling mechanism.
"To summarize, discuss Function Queue Scheduling mechanism.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2025,1,4,,Low,TRUE,Describe Function Queue Scheduling mechanism.
"In short, what is a Scheduler? Explain any one scheduling policies.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,What is a Scheduler? Explain any one scheduling policies.
"Concisely, what is a Scheduler? Explain any one scheduling policies.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,What is a Scheduler? Explain any one scheduling policies.
"Briefly, what is a Scheduler? Explain any one scheduling policies.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,What is a Scheduler? Explain any one scheduling policies.
"In brief, what is a Scheduler? Explain any one scheduling policies.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,What is a Scheduler? Explain any one scheduling policies.
"To summarize, what is a Scheduler? Explain any one scheduling policies.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,What is a Scheduler? Explain any one scheduling policies.
"In brief, name all the RTOS task scheduling models. Describe any one in brief.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,Name all the RTOS task scheduling models. Describe any one in brief.
"To summarize, name all the RTOS task scheduling models. Describe any one briefly.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,Name all the RTOS task scheduling models. Describe any one in brief.
"Briefly, list all the RTOS task scheduling models. Describe any one in brief.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,Name all the RTOS task scheduling models. Describe any one in brief.
"To summarize, name all the RTOS task scheduling models. Describe any one in brief.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,Name all the RTOS task scheduling models. Describe any one in brief.
"In short, list all the RTOS task scheduling models. Describe any one in brief.",Embedded Systems,6. Software architectures and Real Time Task Scheduling,Winter 2022,1,3,,Low,TRUE,Name all the RTOS task scheduling models. Describe any one in brief.
"Briefly, sketch and describe the block diagram and basic architecture of MSP430 and its registers.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,TRUE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
"In short, draw and describe the block diagram and basic architecture of MSP430 and its registers.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,TRUE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
"In brief, sketch and describe the block diagram and basic architecture of MSP430 and its registers.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,TRUE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
"Concisely, draw and describe the block diagram and basic architecture of MSP430 and its registers.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,TRUE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
"Concisely, sketch and describe the block diagram and basic architecture of MSP430 and its registers.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2025",3,3.33,,Medium,TRUE,Sketch and describe the block diagram and basic architecture of MSP430 and its registers.
"To summarize, describe the low-power features and modes of MSP430 microcontrollers.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,TRUE,Describe the low-power features and modes of MSP430 microcontrollers.
"In brief, describe the low-power features and modes of MSP430 microcontrollers.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,TRUE,Describe the low-power features and modes of MSP430 microcontrollers.
"In short, describe the low-power features and modes of MSP430 microcontrollers.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,TRUE,Describe the low-power features and modes of MSP430 microcontrollers.
"In short, explain the low-power features and modes of MSP430 microcontrollers.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,TRUE,Describe the low-power features and modes of MSP430 microcontrollers.
"Concisely, explain the low-power features and modes of MSP430 microcontrollers.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Summer 2024, Winter 2024, Winter 2025",5,4.2,,High,TRUE,Describe the low-power features and modes of MSP430 microcontrollers.
"To summarize, draw interfacing diagram and write C-code to count switch presses using interrupts with MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,TRUE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
"In brief, sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,TRUE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
"Briefly, sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,TRUE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
Illustrate interfacing diagram and write C-code to count switch presses using interrupts with MSP430.,Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,TRUE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
"Concisely, draw interfacing diagram and write C-code to count switch presses using interrupts with MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2022,1,7,,Low,TRUE,Sketch interfacing diagram and write C-code to count switch presses using interrupts with MSP430.
"Briefly, discuss the multiplexing scheme in MSP430 processor for the port pins.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,TRUE,Describe the multiplexing scheme in MSP430 processor for the port pins.
"In brief, explain the multiplexing scheme in MSP430 processor for the port pins.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,TRUE,Describe the multiplexing scheme in MSP430 processor for the port pins.
"In short, explain the multiplexing scheme in MSP430 processor for the port pins.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,TRUE,Describe the multiplexing scheme in MSP430 processor for the port pins.
"To summarize, discuss the multiplexing scheme in MSP430 processor for the port pins.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,TRUE,Describe the multiplexing scheme in MSP430 processor for the port pins.
"Briefly, explain the multiplexing scheme in MSP430 processor for the port pins.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2023",3,3,,High,TRUE,Describe the multiplexing scheme in MSP430 processor for the port pins.
"Briefly, discuss the clocking system and various sources of clock in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,TRUE,Describe the clocking system and various sources of clock in MSP430 processor.
"Briefly, describe the clocking system and various sources of clock in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,TRUE,Describe the clocking system and various sources of clock in MSP430 processor.
"In short, explain the clocking system and various sources of clock in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,TRUE,Describe the clocking system and various sources of clock in MSP430 processor.
Discuss the clocking system and various sources of clock in MSP430 processor.,Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,TRUE,Describe the clocking system and various sources of clock in MSP430 processor.
"To summarize, explain the clocking system and various sources of clock in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Summer 2024, Summer 2025, Winter 2025",7,3.86,,High,TRUE,Describe the clocking system and various sources of clock in MSP430 processor.
"In brief, discuss MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,TRUE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
Explain MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.,Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,TRUE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
"Briefly, explain MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,TRUE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
"In brief, explain MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,TRUE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
"In short, describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.",Embedded Systems,7. MSP430 (Case Study),"Summer 2022, Winter 2022, Winter 2022, Winter 2023",4,7,,High,TRUE,Describe MSP430 timer modes available for Timer-A and write a C-program to generate square wave on port pin P1.0 using Timer-A.
"In short, explain the function of Watchdog timer in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,TRUE,Explain the function of Watchdog timer in MSP430 processor.
"In brief, explain the function of Watchdog timer in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,TRUE,Explain the function of Watchdog timer in MSP430 processor.
"Concisely, explain the function of Watchdog timer in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,TRUE,Explain the function of Watchdog timer in MSP430 processor.
"In short, discuss the function of Watchdog timer in MSP430 processor.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,TRUE,Explain the function of Watchdog timer in MSP430 processor.
Describe the function of Watchdog timer in MSP430 processor.,Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Summer 2024",2,3,,High,TRUE,Explain the function of Watchdog timer in MSP430 processor.
"In brief, describe reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,TRUE,"Describe reset conditions of MSP430: BOR, POR and PUC."
"To summarize, explain reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,TRUE,"Describe reset conditions of MSP430: BOR, POR and PUC."
"In brief, discuss reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,TRUE,"Describe reset conditions of MSP430: BOR, POR and PUC."
"In brief, explain reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,TRUE,"Describe reset conditions of MSP430: BOR, POR and PUC."
"Explain reset conditions of MSP430: BOR, POR and PUC.",Embedded Systems,7. MSP430 (Case Study),"Summer 2023, Winter 2023",2,3.5,,Medium,TRUE,"Describe reset conditions of MSP430: BOR, POR and PUC."
"Briefly, explain interrupt handling process in MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,TRUE,Explain interrupt handling process in MSP430.
"In short, explain interrupt handling process in MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,TRUE,Explain interrupt handling process in MSP430.
Discuss interrupt handling process in MSP430.,Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,TRUE,Explain interrupt handling process in MSP430.
"Concisely, explain interrupt handling process in MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,TRUE,Explain interrupt handling process in MSP430.
"In brief, explain interrupt handling process in MSP430.",Embedded Systems,7. MSP430 (Case Study),Summer 2023,1,7,,Low,TRUE,Explain interrupt handling process in MSP430.
"Briefly, describe how the timers of MSP430 can be configured for PWM generation.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,TRUE,Explain how the timers of MSP430 can be configured for PWM generation.
"In brief, discuss how the timers of MSP430 can be configured for PWM generation.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,TRUE,Explain how the timers of MSP430 can be configured for PWM generation.
Describe how the timers of MSP430 can be configured for PWM generation.,Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,TRUE,Explain how the timers of MSP430 can be configured for PWM generation.
"Concisely, discuss how the timers of MSP430 can be configured for PWM generation.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,TRUE,Explain how the timers of MSP430 can be configured for PWM generation.
"In brief, explain how the timers of MSP430 can be configured for PWM generation.",Embedded Systems,7. MSP430 (Case Study),"Winter 2021, Summer 2023, Summer 2024",3,7,,High,TRUE,Explain how the timers of MSP430 can be configured for PWM generation.
Enlist down various registers of MSP430 processor with their functions.,Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,TRUE,List down various registers of MSP430 processor with their functions.
"In short, enlist down various registers of MSP430 processor with their functions.",Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,TRUE,List down various registers of MSP430 processor with their functions.
"In short, list down various registers of MSP430 processor with their functions.",Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,TRUE,List down various registers of MSP430 processor with their functions.
"In short, enumerate down various registers of MSP430 processor with their functions.",Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,TRUE,List down various registers of MSP430 processor with their functions.
"Briefly, list down various registers of MSP430 processor with their functions.",Embedded Systems,7. MSP430 (Case Study),Summer 2024,1,7,,Low,TRUE,List down various registers of MSP430 processor with their functions.
"In brief, describe MSP430 USCI module and its modes.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,TRUE,Describe MSP430 USCI module and its modes.
"In short, explain MSP430 USCI module and its modes.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,TRUE,Describe MSP430 USCI module and its modes.
"In brief, discuss MSP430 USCI module and its modes.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,TRUE,Describe MSP430 USCI module and its modes.
"Briefly, describe MSP430 USCI module and its modes.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,TRUE,Describe MSP430 USCI module and its modes.
"Briefly, explain MSP430 USCI module and its modes.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,3,,Medium,TRUE,Describe MSP430 USCI module and its modes.
"In short, discuss the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.",Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,TRUE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
"To summarize, describe the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.",Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,TRUE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
"In short, describe the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.",Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,TRUE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
"To summarize, explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.",Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,TRUE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
"In brief, describe the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.",Embedded Systems,7. MSP430 (Case Study),"Winter 2022, Summer 2025",2,3,,Medium,TRUE,Explain the special features associated with GPIO port pins in MSP430 other than simple digital input output port pin characteristics.
"In brief, illustrate interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,TRUE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
"In short, draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,TRUE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
"Concisely, illustrate interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,TRUE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
"In brief, sketch interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,TRUE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
"Briefly, sketch interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.",Embedded Systems,7. MSP430 (Case Study),"Winter 2023, Summer 2025",2,7,,Medium,TRUE,Draw interfacing diagram to interface 8 LEDs with MSP430 and write C-code to turn them ON in ring counter fashion.
"Concisely, write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,TRUE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
"In brief, write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,TRUE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
"Concisely, state a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,TRUE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
"In short, write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.",Embedded Systems,7. MSP430 (Case Study),Winter 2021,1,7,,Low,TRUE,Write a C code to display HELLO on common anode seven segment LED interfaced with GPIO pins of MSP430. Show necessary diagram.
